time_s,lux_incident,lux_reflected,surface
6.65,951.42,680.88,Метал
6.7,947.24,688.02,Метал
6.75,954.65,686.86,Метал
6.8,947.65,677.98,Метал
6.85,949.03,682.22,Метал
6.9,952.44,689.3,Метал
6.95,946.31,679.23,Метал
7.0,950.68,681.03,Метал
7.05,953.92,689.94,Метал
7.1,945.18,683.82,Метал
7.15,950.55,683.33,Метал
7.2,950.78,683.85,Метал
7.25,952.35,689.31,Метал
7.3,946.29,674.96,Метал
7.35,946.04,675.1,Метал
7.4,951.57,683.27,Метал
7.45,950.89,685.85,Метал
7.5,950.75,688.91,Метал
7.55,951.04,696.09,Метал
7.6,947.96,690.13,Метал
7.65,950.7,685.94,Метал
7.7,950.88,686.84,Метал
7.75,947.86,678.67,Метал
7.8,955.6,690.03,Метал
7.85,951.42,685.27,Метал
7.9,946.43,685.19,Метал
7.95,951.97,682.11,Метал
8.0,947.08,686.48,Метал
8.05,952.36,696.17,Метал
8.1,953.48,686.91,Метал
8.15,947.54,685.48,Метал
8.2,952.89,690.84,Метал
8.25,951.24,682.88,Метал
8.3,952.47,687.28,Метал
8.35,955.69,688.09,Метал
8.4,949.26,683.74,Метал
8.45,947.74,677.19,Метал
8.5,947.33,681.45,Метал
8.55,947.55,684.23,Метал
8.6,949.77,691.34,Метал
8.65,951.02,689.09,Метал
8.7,950.83,695.92,Метал
8.75,952.48,679.41,Метал
8.8,950.04,687.34,Метал
8.85,954.36,686.17,Метал
8.9,949.21,694.38,Метал
8.95,958.16,682.73,Метал
9.0,951.88,677.94,Метал
9.05,947.43,676.11,Метал
9.1,946.79,666.46,Метал
9.15,951.45,679.39,Метал
9.2,949.33,676.47,Метал
9.25,952.14,683.98,Метал
9.3,951.42,684.65,Метал
9.35,949.78,692.75,Метал
9.4,947.46,685.61,Метал
9.45,945.46,675.11,Метал
9.5,948.66,675.62,Метал
9.55,952.57,686.93,Метал
9.6,950.64,674.83,Метал
9.65,946.26,690.77,Метал
9.7,950.52,690.11,Метал
9.75,951.16,680.88,Метал
9.8,947.35,670.89,Метал
9.85,950.46,691.76,Метал
9.9,950.17,682.97,Метал
9.95,946.57,688.72,Метал
